"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival","Strongyles"
588,"Males",2008,0,"Lambs",2008,0.31944,42,1.76668072718857,36,"F",1,200
573,"Females",2008,0,"Lambs",2008,0.0986,42,1.89837632603218,36,"H",0,200
147,"Females",2000,0,"Lambs",2000,0.06752,59,1.97456855394105,36,"C",0,800
405,"Females",2005,0,"Lambs",2005,0.54952,63,1.56811916867385,36,"E",0,0
430,"Females",2005,0,"Lambs",2005,0.88486,62,1.70055553198697,36,"F",1,800
609,"Females",2008,0,"Lambs",2008,0.35434,41,1.94017567347482,36,"F",1,0
152,"Females",2000,0,"Lambs",2000,0.20472,59,2.02948976071686,37,"B",0,300
324,"Males",2004,0,"Lambs",2004,0.1347,63,1.8311378232602,37,"E",0,1400
346,"Females",2004,0,"Lambs",2004,0.24866,64,1.90924134307078,37,"A",0,800
320,"Females",2004,0,"Lambs",2004,0.33644,63,1.75586079439948,37,"C",0,300
403,"Females",2004,0,"Lambs",2004,0.10856,65,1.90643826691926,37,"F",0,300
379,"Females",2004,0,"Lambs",2004,0.22177,64,2.05736773081096,37,"G",0,600
151,"Females",2000,0,"Lambs",2000,0.14928,59,1.85434406571027,37,"H",0,200
322,"Females",2004,0,"Lambs",2004,0.26319,63,2.08038218410329,37,"A",0,600
587,"Males",2008,0,"Lambs",2008,0.02459,42,1.604666148007,37,"B",0,800
326,"Males",2004,0,"Lambs",2004,0.18618,63,1.34162049068264,37,"F",0,100
606,"Males",2008,0,"Lambs",2008,0.25827,40,1.80291636691577,37,"B",0,100
153,"Males",2000,0,"Lambs",2000,0.03269,59,1.87037058523834,37,"A",1,500
398,"Females",2004,0,"Lambs",2004,0.11552,65,1.74557192628139,37,"F",0,1800
581,"Females",2008,0,"Lambs",2008,0.28217,42,2.51030582548455,37,"B",1,1100
361,"Males",2004,0,"Lambs",2004,0.56069,64,1.88416130463816,37,"G",0,2000
407,"Males",2005,0,"Lambs",2005,0.44289,63,1.60972619813079,37,"H",0,1500
167,"Females",2000,0,"Lambs",2000,0.10414,60,2.34724941909393,38,"A",1,0
399,"Males",2004,0,"Lambs",2004,0.16745,65,1.85626346874004,38,"D",0,3700
174,"Males",2000,0,"Lambs",2000,0.10998,60,1.50028206543999,38,"E",0,100
393,"Females",2004,0,"Lambs",2004,0.13945,65,1.75145784480866,38,"H",0,600
351,"Females",2004,0,"Lambs",2004,0.10257,64,1.91770741523191,38,"E",0,900
338,"Females",2004,0,"Lambs",2004,0.04466,63,2.04485572287482,38,"F",0,400
166,"Females",2000,0,"Lambs",2000,0.14529,60,1.91581985452151,38,"A",1,300
321,"Males",2004,0,"Lambs",2004,0.06604,63,1.8736403924535,38,"C",1,900
180,"Males",2000,0,"Lambs",2000,0.16408,60,2.37068880319966,38,"C",1,200
354,"Females",2004,0,"Lambs",2004,0.13697,64,2.25963346826907,38,"G",0,2000
566,"Females",2008,0,"Lambs",2008,0.25642,42,1.84018863388662,39,"C",1,1000
355,"Males",2004,0,"Lambs",2004,0.23891,64,2.16719759107923,39,"C",0,1400
385,"Females",2004,0,"Lambs",2004,0.05902,63,2.08490698644555,39,"A",0,1200
177,"Females",2000,0,"Lambs",2000,0.17633,60,1.40022535736853,39,"C",0,400
431,"Males",2005,0,"Lambs",2005,0.04038,62,1.88779188103471,39,"D",0,400
364,"Females",2004,0,"Lambs",2004,0.06655,63,1.85223343422425,39,"E",0,1800
333,"Males",2004,0,"Lambs",2004,0.1163,63,1.61578419084216,39,"E",0,1100
422,"Males",2005,0,"Lambs",2005,0.33999,62,1.55450784516959,39,"F",0,600
612,"Females",2008,0,"Lambs",2008,0.45253,40,1.50055352246688,39,"H",1,300
564,"Males",2008,0,"Lambs",2008,0.43278,42,1.55950481225562,40,"B",0,1000
594,"Males",2008,0,"Lambs",2008,0.13133,42,2.30014172987913,40,"A",1,600
340,"Females",2004,0,"Lambs",2004,0.08609,63,1.57417332620423,40,"G",0,300
160,"Females",2000,0,"Lambs",2000,0.08743,59,1.7295677643596,40,"C",1,500
391,"Males",2004,0,"Lambs",2004,0.10958,65,2.09768954035899,40,"D",0,1000
319,"Males",2004,0,"Lambs",2004,0.36817,63,2.05767409914324,40,"E",1,1800
348,"Females",2004,0,"Lambs",2004,0.55731,64,2.38890250750398,40,"E",0,400
425,"Females",2005,0,"Lambs",2005,0.43003,62,1.49608687958701,81,"D",1,700
428,"Females",2005,0,"Lambs",2005,0.09033,62,1.9395893693392,81,"H",1,200
414,"Females",2005,0,"Lambs",2005,0.79232,62,1.57134871699489,81,"C",0,400
402,"Males",2004,0,"Lambs",2004,0.25128,65,2.25592777276843,81,"G",0,500
345,"Males",2004,0,"Lambs",2004,0.5256,64,1.57508798906723,96,"A",0,1200
607,"Males",2008,0,"Lambs",2008,0.0332,41,1.75000699002733,81,"D",1,200
605,"Females",2008,0,"Lambs",2008,0.15687,41,1.58740016961175,81,"A",1,600
349,"Males",2004,0,"Lambs",2004,0.15956,64,1.90714823114399,81,"B",0,600
702,"Females",2010,0,"Lambs",2010,0.31432,29,2.05852224424353,41,"F",0,800
