"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","Strongyles","RTL","qPCRPlate","qPCRRow","Survival"
528,"Females",2007,0,"Lambs",2007,0,1.66674687058286,19,"G",0
226,"Females",2001,0,"Lambs",2001,2000,2.39500178554373,19,"B",0
631,"Females",2009,0,"Lambs",2009,100,2.16716803931873,19,"D",1
192,"Females",2001,0,"Lambs",2001,1300,2.00750475324113,20,"B",0
216,"Females",2001,0,"Lambs",2001,800,1.96756067780468,20,"B",1
497,"Females",2007,0,"Lambs",2007,800,1.66627999926139,20,"G",1
801,"Females",2012,0,"Lambs",2012,0,1.67917460686246,20,"C",1
551,"Females",2007,0,"Lambs",2007,200,2.08241641253268,20,"B",1
510,"Males",2007,0,"Lambs",2007,100,1.63939680064492,20,"G",1
200,"Females",2001,0,"Lambs",2001,200,1.9302839507947,20,"E",0
810,"Females",2012,0,"Lambs",2012,50,1.71688152725635,20,"F",1
552,"Males",2007,0,"Lambs",2007,100,2.04949370589725,81,"A",1
525,"Males",2007,0,"Lambs",2007,200,1.75999636247293,81,"B",0
402,"Males",2004,0,"Lambs",2004,1600,2.20223198760592,21,"F",0
598,"Females",2008,0,"Lambs",2008,800,1.73642266948906,21,"A",0
574,"Females",2008,0,"Lambs",2008,100,2.01496738871329,21,"B",0
169,"Males",2000,0,"Lambs",2000,600,1.84854465768538,21,"H",1
411,"Males",2005,0,"Lambs",2005,700,1.49650047319561,21,"F",1
421,"Females",2005,0,"Lambs",2005,0,1.65825102935945,21,"G",0
164,"Males",2000,0,"Lambs",2000,300,2.21609613817004,21,"C",1
364,"Males",2004,0,"Lambs",2004,200,2.40755637712449,95,"B",0
579,"Females",2008,0,"Lambs",2008,0,2.05643345991817,22,"H",0
353,"Males",2004,0,"Lambs",2004,400,2.03900711214426,22,"C",0
162,"Females",2000,0,"Lambs",2000,100,1.89404525108011,22,"F",1
163,"Females",2000,0,"Lambs",2000,200,1.59940069434155,22,"G",1
600,"Females",2008,0,"Lambs",2008,300,1.61741873361169,22,"H",0
584,"Females",2008,0,"Lambs",2008,300,1.98838738799258,22,"C",0
577,"Males",2008,0,"Lambs",2008,600,2.1291976947426,23,"B",0
340,"Females",2004,0,"Lambs",2004,3800,2.31135928650749,23,"D",0
389,"Males",2004,0,"Lambs",2004,1500,2.23908725950314,23,"F",0
419,"Females",2005,0,"Lambs",2005,300,1.59148667161081,23,"B",1
182,"Females",2000,0,"Lambs",2000,400,1.64300530552181,23,"C",1
177,"Females",2000,0,"Lambs",2000,400,2.22006297757173,23,"A",1
573,"Females",2008,0,"Lambs",2008,600,2.43409514254486,23,"D",1
145,"Males",2000,0,"Lambs",2000,400,2.021713831601,23,"E",1
371,"Males",2004,0,"Lambs",2004,200,2.09372507188137,23,"D",0
390,"Females",2004,0,"Lambs",2004,400,2.02892770100439,23,"F",0
572,"Females",2008,0,"Lambs",2008,1000,2.14607972418042,23,"A",0
615,"Females",2008,0,"Lambs",2008,800,1.9384446201935,23,"C",0
183,"Males",2000,0,"Lambs",2000,2100,2.44037817250297,23,"D",0
401,"Females",2004,0,"Lambs",2004,1000,1.94307129076763,24,"G",0
580,"Males",2008,0,"Lambs",2008,1100,1.93790896689237,24,"D",1
585,"Males",2008,0,"Lambs",2008,200,2.14823595531643,24,"H",1
815,"Males",2013,0,"Lambs",2013,600,1.90791990677894,24,"G",1
570,"Males",2008,0,"Lambs",2008,50,2.02415206040792,24,"A",0
597,"Males",2008,0,"Lambs",2008,500,2.13944361421886,24,"H",1
360,"Females",2004,0,"Lambs",2004,100,1.94252304649282,24,"D",0
337,"Females",2004,0,"Lambs",2004,1000,1.90527431992035,24,"E",0
820,"Females",2013,0,"Lambs",2013,900,2.6343658889677,24,"D",1
434,"Females",2005,0,"Lambs",2005,400,1.84615493227463,25,"D",0
586,"Males",2008,0,"Lambs",2008,600,1.60928670600556,25,"A",0
315,"Males",2004,0,"Lambs",2004,1800,2.31935466844261,25,"F",0
409,"Females",2005,0,"Lambs",2005,800,2.2620524245716,25,"B",0
174,"Males",2000,0,"Lambs",2000,600,2.00945857564929,25,"C",1
358,"Males",2004,0,"Lambs",2004,600,2.29663662440982,26,"B",0
437,"Males",2005,0,"Lambs",2005,1000,2.03959545054478,26,"F",1
361,"Males",2004,0,"Lambs",2004,2600,1.95420107489532,26,"H",0
418,"Males",2005,0,"Lambs",2005,800,1.69748073413319,26,"A",0
319,"Females",2004,0,"Lambs",2004,800,1.67437818195444,26,"F",0
331,"Females",2004,0,"Lambs",2004,1400,1.81071074433351,26,"G",0
603,"Males",2008,0,"Lambs",2008,400,1.78382433519768,26,"H",1
414,"Females",2005,0,"Lambs",2005,2400,1.90771727524743,26,"E",1
387,"Females",2004,0,"Lambs",2004,4800,2.1652778708036,26,"A",0
567,"Males",2008,0,"Lambs",2008,100,1.92083687463026,26,"G",0
313,"Males",2004,0,"Lambs",2004,600,2.08589850685681,27,"B",0
173,"Females",2000,0,"Lambs",2000,400,1.99158349091678,27,"F",0
147,"Males",2000,0,"Lambs",2000,500,1.92725999470733,27,"D",1
375,"Females",2004,0,"Lambs",2004,1000,1.89065326188144,27,"F",0
438,"Females",2005,0,"Lambs",2005,200,2.22970071416471,27,"B",1
316,"Females",2004,0,"Lambs",2004,400,1.64537995876083,27,"E",1
344,"Males",2004,0,"Lambs",2004,800,2.09577008888181,27,"G",0
171,"Females",2000,0,"Lambs",2000,1600,2.17896022282744,28,"A",1
369,"Females",2004,0,"Lambs",2004,800,2.09992901073369,28,"F",0
332,"Males",2004,0,"Lambs",2004,600,1.80620989070852,28,"B",0
601,"Males",2008,0,"Lambs",2008,300,1.59407008992324,28,"A",0
591,"Males",2008,0,"Lambs",2008,50,2.19431597964404,28,"B",0
314,"Males",2004,0,"Lambs",2004,1000,1.99596849810071,29,"B",0
578,"Females",2008,0,"Lambs",2008,300,1.76397080625699,29,"A",0
391,"Females",2004,0,"Lambs",2004,400,1.81056593777207,29,"F",0
180,"Males",2000,0,"Lambs",2000,1200,1.92123668923767,29,"G",1
158,"Females",2000,0,"Lambs",2000,200,2.02213352878361,29,"H",0
366,"Females",2004,0,"Lambs",2004,100,1.99306794217575,29,"H",0
581,"Males",2008,0,"Lambs",2008,400,1.85779025780766,29,"E",1
377,"Females",2004,0,"Lambs",2004,900,1.91308761264067,29,"G",0
388,"Males",2004,0,"Lambs",2004,1700,1.8287286349686,29,"D",0
593,"Females",2008,0,"Lambs",2008,200,2.13278313059193,29,"E",0
345,"Males",2004,0,"Lambs",2004,1200,2.10545985166496,29,"D",0
420,"Males",2005,0,"Lambs",2005,1400,1.72075220250604,29,"G",0
146,"Females",2000,0,"Lambs",2000,100,2.50244698969259,30,"A",1
155,"Males",2000,0,"Lambs",2000,700,2.00154722121544,30,"C",1
816,"Females",2013,0,"Lambs",2013,300,2.23919332370599,30,"G",1
363,"Females",2004,0,"Lambs",2004,900,2.12518953841801,30,"H",0
407,"Females",2005,0,"Lambs",2005,200,1.64001813619421,30,"B",0
606,"Males",2008,0,"Lambs",2008,300,1.62224511604599,30,"G",0
143,"Males",2000,0,"Lambs",2000,200,2.08615368080724,30,"C",1
343,"Females",2004,0,"Lambs",2004,600,2.0761679233044,30,"E",0
373,"Males",2004,0,"Lambs",2004,300,2.14710340862813,30,"G",0
427,"Females",2005,0,"Lambs",2005,700,1.80738213160897,30,"F",1
576,"Males",2008,0,"Lambs",2008,100,2.0472108827141,31,"G",1
595,"Females",2008,0,"Lambs",2008,1200,1.94731387559472,31,"C",1
151,"Females",2000,0,"Lambs",2000,200,2.16292433943503,31,"A",1
326,"Females",2004,0,"Lambs",2004,800,1.87296866871839,31,"C",0
396,"Females",2004,0,"Lambs",2004,400,2.20382138485687,31,"D",0
819,"Males",2013,0,"Lambs",2013,400,2.06567892807854,31,"B",1
382,"Males",2004,0,"Lambs",2004,900,2.13724402268995,31,"C",0
374,"Males",2004,0,"Lambs",2004,1000,2.53160168763929,31,"A",0
333,"Females",2004,0,"Lambs",2004,200,2.12014103897224,32,"F",0
357,"Females",2004,0,"Lambs",2004,400,2.00212326338761,32,"H",0
393,"Males",2004,0,"Lambs",2004,1200,2.1958986703158,32,"B",0
378,"Males",2004,0,"Lambs",2004,500,2.07449317555653,32,"F",0
370,"Females",2004,0,"Lambs",2004,900,1.76801456256281,32,"H",0
613,"Males",2008,0,"Lambs",2008,600,1.74560083670864,32,"A",0
599,"Females",2008,0,"Lambs",2008,100,1.80357836657698,32,"C",1
312,"Females",2004,0,"Lambs",2004,800,1.57817683998978,32,"G",0
379,"Males",2004,0,"Lambs",2004,600,2.14185639487968,32,"A",0
413,"Females",2005,0,"Lambs",2005,300,2.42202395486108,32,"D",1
424,"Females",2005,0,"Lambs",2005,400,1.60880238138091,32,"G",1
381,"Males",2004,0,"Lambs",2004,1500,2.55677179696008,33,"A",0
179,"Males",2000,0,"Lambs",2000,1000,2.10159825169623,33,"B",0
435,"Females",2005,0,"Lambs",2005,1200,1.70077660829342,33,"E",0
383,"Females",2004,0,"Lambs",2004,1200,2.13639805502056,33,"G",0
588,"Females",2008,0,"Lambs",2008,800,2.0071125058819,33,"A",1
172,"Males",2000,0,"Lambs",2000,500,1.53871539674839,33,"B",1
605,"Females",2008,0,"Lambs",2008,200,1.96944584288374,33,"H",1
160,"Males",2000,0,"Lambs",2000,300,2.14337397461217,33,"B",1
351,"Males",2004,0,"Lambs",2004,1600,1.9871018854324,33,"D",0
412,"Females",2005,0,"Lambs",2005,800,1.58620597655437,33,"F",0
592,"Males",2008,0,"Lambs",2008,1200,1.63521334020339,33,"G",0
417,"Females",2005,0,"Lambs",2005,600,1.78481283525417,33,"C",1
569,"Males",2008,0,"Lambs",2008,1600,1.97389326873306,33,"D",0
416,"Females",2005,0,"Lambs",2005,900,1.72011588023092,33,"H",1
395,"Females",2004,0,"Lambs",2004,1000,1.81611564037584,34,"C",0
376,"Females",2004,0,"Lambs",2004,800,2.11083785661672,34,"H",0
368,"Males",2004,0,"Lambs",2004,1200,2.24016299711926,34,"A",0
156,"Males",2000,0,"Lambs",2000,200,2.01054289249678,34,"C",1
317,"Females",2004,0,"Lambs",2004,400,2.19393720089677,34,"E",0
436,"Males",2005,0,"Lambs",2005,2100,1.15760909395102,34,"G",0
602,"Females",2008,0,"Lambs",2008,200,1.74702241468348,34,"C",0
817,"Females",2013,0,"Lambs",2013,200,1.71077772518074,34,"H",1
335,"Females",2004,0,"Lambs",2004,900,1.75771202351131,34,"G",0
428,"Males",2005,0,"Lambs",2005,1700,2.15432520066166,35,"A",0
384,"Females",2004,0,"Lambs",2004,700,1.72951849785895,35,"F",0
170,"Females",2000,0,"Lambs",2000,400,2.26714680426748,35,"G",1
405,"Females",2005,0,"Lambs",2005,700,1.75679494530148,35,"B",1
410,"Females",2005,0,"Lambs",2005,1300,1.7180850045794,35,"F",0
604,"Males",2008,0,"Lambs",2008,300,1.88557851664017,35,"H",0
818,"Females",2013,0,"Lambs",2013,500,1.97401078515779,35,"B",1
425,"Females",2005,0,"Lambs",2005,2100,1.61633645120458,35,"E",1
594,"Males",2008,0,"Lambs",2008,2100,1.87052458815536,35,"G",1
582,"Females",2008,0,"Lambs",2008,400,2.14594230893594,35,"A",0
159,"Males",2000,0,"Lambs",2000,200,1.84025429351766,35,"G",1
338,"Males",2004,0,"Lambs",2004,600,2.19435093972306,35,"C",0
329,"Males",2004,0,"Lambs",2004,1200,2.06975198271639,35,"D",0
571,"Females",2008,0,"Lambs",2008,100,1.6030066569666,35,"F",1
328,"Males",2004,0,"Lambs",2004,2600,2.17019486077976,35,"B",0
142,"Females",2000,0,"Lambs",2000,300,2.29762768003707,35,"D",1
587,"Males",2008,0,"Lambs",2008,1800,2.16634671034451,35,"E",0
430,"Males",2005,0,"Lambs",2005,600,1.58992947853164,36,"H",1
318,"Females",2004,0,"Lambs",2004,200,1.92911438063993,36,"E",0
821,"Females",2013,0,"Lambs",2013,400,1.4959023411096,36,"F",1
590,"Males",2008,0,"Lambs",2008,200,1.76668072718857,36,"F",1
575,"Females",2008,0,"Lambs",2008,200,1.89837632603218,36,"H",0
148,"Females",2000,0,"Lambs",2000,800,1.97456855394105,36,"C",0
406,"Females",2005,0,"Lambs",2005,0,1.56811916867385,36,"E",0
431,"Females",2005,0,"Lambs",2005,800,1.70055553198697,36,"F",1
611,"Females",2008,0,"Lambs",2008,0,1.94017567347482,36,"F",1
153,"Females",2000,0,"Lambs",2000,300,2.02948976071686,37,"B",0
325,"Males",2004,0,"Lambs",2004,1400,1.8311378232602,37,"E",0
347,"Females",2004,0,"Lambs",2004,800,1.90924134307078,37,"A",0
321,"Females",2004,0,"Lambs",2004,300,1.75586079439948,37,"C",0
404,"Females",2004,0,"Lambs",2004,300,1.90643826691926,37,"F",0
380,"Females",2004,0,"Lambs",2004,600,2.05736773081096,37,"G",0
152,"Females",2000,0,"Lambs",2000,200,1.85434406571027,37,"H",0
323,"Females",2004,0,"Lambs",2004,600,2.08038218410329,37,"A",0
589,"Males",2008,0,"Lambs",2008,800,1.604666148007,37,"B",0
327,"Males",2004,0,"Lambs",2004,100,1.34162049068264,37,"F",0
608,"Males",2008,0,"Lambs",2008,100,1.80291636691577,37,"B",0
154,"Males",2000,0,"Lambs",2000,500,1.87037058523834,37,"A",1
399,"Females",2004,0,"Lambs",2004,1800,1.74557192628139,37,"F",0
583,"Females",2008,0,"Lambs",2008,1100,2.51030582548455,37,"B",1
362,"Males",2004,0,"Lambs",2004,2000,1.88416130463816,37,"G",0
408,"Males",2005,0,"Lambs",2005,1500,1.60972619813079,37,"H",0
168,"Females",2000,0,"Lambs",2000,0,2.34724941909393,38,"A",1
400,"Males",2004,0,"Lambs",2004,3700,1.85626346874004,38,"D",0
175,"Males",2000,0,"Lambs",2000,100,1.50028206543999,38,"E",0
394,"Females",2004,0,"Lambs",2004,600,1.75145784480866,38,"H",0
352,"Females",2004,0,"Lambs",2004,900,1.91770741523191,38,"E",0
339,"Females",2004,0,"Lambs",2004,400,2.04485572287482,38,"F",0
167,"Females",2000,0,"Lambs",2000,300,1.91581985452151,38,"A",1
322,"Males",2004,0,"Lambs",2004,900,1.8736403924535,38,"C",1
181,"Males",2000,0,"Lambs",2000,200,2.37068880319966,38,"C",1
355,"Females",2004,0,"Lambs",2004,2000,2.25963346826907,38,"G",0
568,"Females",2008,0,"Lambs",2008,1000,1.84018863388662,39,"C",1
356,"Males",2004,0,"Lambs",2004,1400,2.16719759107923,39,"C",0
386,"Females",2004,0,"Lambs",2004,1200,2.08490698644555,39,"A",0
178,"Females",2000,0,"Lambs",2000,400,1.40022535736853,39,"C",0
432,"Males",2005,0,"Lambs",2005,400,1.88779188103471,39,"D",0
